type,module,sourceLine,snippet
for,07-navigation-traffic-routes.js,1525,"function sampleRoute(points,spacing=3.1){const samples=[];for(let i=1;i<points.length;i++){const a=points[i-1],b=points[i],dx=b.x-a.x,dz=b.z-a.z,len=Math.hypot(dx,dz),steps=Math.max(1,Math.floor(len/spacing));for(let s=1;s<=steps;s++){const t=s/steps;samples.push({x:a.x+dx*t,z:a.z+dz*t,angle:Math.atan2(dx,dz)});}}return samples;}"
if,07-navigation-traffic-routes.js,1526,"function createRouteGuide(){if(world.routeGuide)return true;if(!worldGroup||!window.THREE)return false;world.routeGuide=new THREE.Group();world.routeGuide.name='OTTHOS_ROUTE_GUIDE';worldGroup.add(world.routeGuide);const material=mat(0x42eaff,{emissive:0x087fa0,emissiveIntensity:1.45,roughness:.2,transparent:true,opacity:.94});for(let i=0;i<46;i++){const arrow=new THREE.Mesh(new THREE.ConeGeometry(.34,.8,4),material);arrow.rotation.x=Math.PI/2;arrow.visible=false;arrow.frustumCulled=false;world.r"
for,07-navigation-traffic-routes.js,1526,"function createRouteGuide(){if(world.routeGuide)return true;if(!worldGroup||!window.THREE)return false;world.routeGuide=new THREE.Group();world.routeGuide.name='OTTHOS_ROUTE_GUIDE';worldGroup.add(world.routeGuide);const material=mat(0x42eaff,{emissive:0x087fa0,emissiveIntensity:1.45,roughness:.2,transparent:true,opacity:.94});for(let i=0;i<46;i++){const arrow=new THREE.Mesh(new THREE.ConeGeometry(.34,.8,4),material);arrow.rotation.x=Math.PI/2;arrow.visible=false;arrow.frustumCulled=false;world.r"
if,07-navigation-traffic-routes.js,1527,"function updateRouteGuide(force=false){if(!createRouteGuide())return;if(!state.waypoint){world.routeArrows.forEach(a=>a.visible=false);world.routePath=[];return;}const routeInfo=routeProgressInfo(world.routePath,player),offRoute=routeInfo.distance>7;if(force||!world.routePath.length||(offRoute&&performance.now()-world.routeLastBuild>1400)){world.routeLastBuild=performance.now();world.routePath=buildRoutePoints(player,state.waypoint);}const visibleRoute=remainingRoute(world.routePath,player),samp"
if,07-navigation-traffic-routes.js,1529,"function miniMapLogicalSize(canvas){const rect=canvas.getBoundingClientRect(),ratio=Math.min(2,window.devicePixelRatio||1),width=Math.max(180,Math.round(rect.width*ratio)),height=Math.max(110,Math.round(rect.height*ratio));if(canvas.width!==width||canvas.height!==height){canvas.width=width;canvas.height=height;}return{w:width,h:height,ratio};}"
if,07-navigation-traffic-routes.js,1532,"const canvas=els.miniMapCanvas;if(!canvas)return;const {w,h}=miniMapLogicalSize(canvas),ctx=canvas.getContext('2d'),scale=miniMapScale(w,h);ctx.clearRect(0,0,w,h);ctx.fillStyle='#67c957';ctx.fillRect(0,0,w,h);"
if,07-navigation-traffic-routes.js,1533,"const room=window.OTTHI_ROOM_WORLD?.current?.();if(room?.bounds){const a=miniPoint(room.bounds.xMin,room.bounds.zMax,scale,w,h),b=miniPoint(room.bounds.xMax,room.bounds.zMin,scale,w,h);ctx.fillStyle='rgba(70,220,255,.12)';ctx.strokeStyle=room.accent||'#5ee7ff';ctx.lineWidth=2;ctx.setLineDash([6,5]);ctx.fillRect(a.x,a.y,b.x-a.x,b.y-a.y);ctx.strokeRect(a.x,a.y,b.x-a.x,b.y-a.y);ctx.setLineDash([]);}"
for,07-navigation-traffic-routes.js,1534,"ctx.save();ctx.lineCap='round';for(const road of WORLD_MAP_ROADS){const horizontal=road.w>=road.d,a=horizontal?miniPoint(road.x-road.w/2,road.z,scale,w,h):miniPoint(road.x,road.z-road.d/2,scale,w,h),b=horizontal?miniPoint(road.x+road.w/2,road.z,scale,w,h):miniPoint(road.x,road.z+road.d/2,scale,w,h);ctx.strokeStyle='#dce1e6';ctx.lineWidth=(horizontal?road.d:road.w)*scale+4;ctx.beginPath();ctx.moveTo(a.x,a.y);ctx.lineTo(b.x,b.y);ctx.stroke();ctx.strokeStyle='#424a55';ctx.lineWidth=(horizontal?road"
if,07-navigation-traffic-routes.js,1535,"for(const house of window.OTTHI_ROOM_WORLD?.houseMarkers?.()||[]){const q=miniPoint(house.x,house.z,scale,w,h);if(q.x<4||q.x>w-4||q.y<4||q.y>h-4)continue;ctx.fillStyle=house.mine?'#ffe35b':'#fff';ctx.strokeStyle='#15314b';ctx.lineWidth=2;ctx.fillRect(q.x-4,q.y-4,8,8);ctx.strokeRect(q.x-4,q.y-4,8,8);}"
for,07-navigation-traffic-routes.js,1535,"for(const house of window.OTTHI_ROOM_WORLD?.houseMarkers?.()||[]){const q=miniPoint(house.x,house.z,scale,w,h);if(q.x<4||q.x>w-4||q.y<4||q.y>h-4)continue;ctx.fillStyle=house.mine?'#ffe35b':'#fff';ctx.strokeStyle='#15314b';ctx.lineWidth=2;ctx.fillRect(q.x-4,q.y-4,8,8);ctx.strokeRect(q.x-4,q.y-4,8,8);}"
if,07-navigation-traffic-routes.js,1536,"if(state.waypoint&&world.routePath.length){const route=remainingRoute(world.routePath,player);ctx.strokeStyle='#38e9ff';ctx.lineWidth=6;ctx.setLineDash([10,6]);ctx.beginPath();route.forEach((p,i)=>{const q=miniPoint(p.x,p.z,scale,w,h);i?ctx.lineTo(q.x,q.y):ctx.moveTo(q.x,q.y);});ctx.stroke();ctx.setLineDash([]);const target=miniPoint(state.waypoint.navX??state.waypoint.x,state.waypoint.navZ??state.waypoint.z,scale,w,h);if(target.x>-12&&target.x<w+12&&target.y>-12&&target.y<h+12){ctx.fillStyle='#"
if,07-navigation-traffic-routes.js,1537,"ctx.restore();ctx.fillStyle='rgba(5,20,35,.82)';ctx.fillRect(7,7,25,23);ctx.fillStyle='#fff';ctx.font=`900 ${Math.max(12,Math.round(h*.1))}px system-ui`;ctx.fillText('N',13,24);if(room){ctx.fillStyle='rgba(5,20,35,.78)';ctx.font=`800 ${Math.max(9,Math.round(h*.065))}px system-ui`;const label=`${room.icon||''} ${room.shortName||room.name||''}`;const width=Math.min(w-14,ctx.measureText(label).width+14);ctx.fillRect(7,h-25,width,18);ctx.fillStyle='#fff';ctx.fillText(label,13,h-12);}"
if,07-navigation-traffic-routes.js,1540,"function updateNavigation(dt=0,force=false){updateNavigation.acc=(updateNavigation.acc||0)+dt;if(!force&&updateNavigation.acc<.14)return;updateNavigation.acc=0;updateRouteGuide(force);drawMiniMap();if(!els.miniNav)return;if(state.waypoint){const info=routeProgressInfo(world.routePath,player),dx=info.next.x-player.x,dz=info.next.z-player.z,arrival=Math.hypot((state.waypoint.navX??state.waypoint.x)-player.x,(state.waypoint.navZ??state.waypoint.z)-player.z);els.miniNavName.textContent=`Rota: ${stat"
else,07-navigation-traffic-routes.js,1540,"function updateNavigation(dt=0,force=false){updateNavigation.acc=(updateNavigation.acc||0)+dt;if(!force&&updateNavigation.acc<.14)return;updateNavigation.acc=0;updateRouteGuide(force);drawMiniMap();if(!els.miniNav)return;if(state.waypoint){const info=routeProgressInfo(world.routePath,player),dx=info.next.x-player.x,dz=info.next.z-player.z,arrival=Math.hypot((state.waypoint.navX??state.waypoint.x)-player.x,(state.waypoint.navZ??state.waypoint.z)-player.z);els.miniNavName.textContent=`Rota: ${stat"
if,08-map-parent-settings.js,1606,"function mapLocationDetails(loc){if(loc?.description||loc?.actions)return{description:loc.description||'Destino relacionado à missão ativa.',actions:Array.isArray(loc.actions)?loc.actions:['Seguir o GPS','Concluir a etapa']};const d=MAP_LOCATION_DETAILS[loc.id]||MAP_LOCATION_DETAILS.default;return{description:d[0],actions:d[1]};}"
if,08-map-parent-settings.js,1610,if(job&&typeof serviceVehicleMapLocation==='function'){const vehicleTarget=serviceVehicleMapLocation(job);if(vehicleTarget)items.push(vehicleTarget);}
if,08-map-parent-settings.js,1611,"const waypoint=state.waypoint;if(waypoint&&!MAP_LOCATIONS.some(loc=>loc.id===waypoint.id)&&!items.some(loc=>loc.id===waypoint.id)){const mission=!!job||/^(service-|assist-|fire-|delivery-)/.test(String(waypoint.id||''));items.push({id:waypoint.id,name:waypoint.name||'Destino da missão',icon:String(waypoint.icon||(/service-/.test(waypoint.id)?'🚨':/fire-/.test(waypoint.id)?'🔥':/assist-/.test(waypoint.id)?'⚠️':'📍')),group:mission?'Missão ativa':'Destino atual',x:Number(waypoint.x||0),z:Number(waypo"
if,08-map-parent-settings.js,1615,"function currentMapLocations(){const all=[...MAP_LOCATIONS,...(window.OTTHI_ROOM_WORLD?.mapHouseLocations?.()||[]),...missionMapLocations(),...(typeof coopMissionMapLocations==='function'?coopMissionMapLocations():[]),...onlinePlayerMapLocations()];const unique=new Map();for(const loc of all)if(loc?.id)unique.set(loc.id,loc);return[...unique.values()];}"
for,08-map-parent-settings.js,1615,"function currentMapLocations(){const all=[...MAP_LOCATIONS,...(window.OTTHI_ROOM_WORLD?.mapHouseLocations?.()||[]),...missionMapLocations(),...(typeof coopMissionMapLocations==='function'?coopMissionMapLocations():[]),...onlinePlayerMapLocations()];const unique=new Map();for(const loc of all)if(loc?.id)unique.set(loc.id,loc);return[...unique.values()];}"
if,08-map-parent-settings.js,1632,if(d>=1)return false;
if,08-map-parent-settings.js,1633,if(d<.001){const angle=((a.index+1)*2.399963229728653+(b.index+1)*.731);nx=Math.cos(angle);ny=Math.sin(angle);d=1;}
else,08-map-parent-settings.js,1634,else{nx/=d;ny/=d;}
if,08-map-parent-settings.js,1636,if(pushBoth){a.left-=mx*.5;a.top-=my*.5;b.left+=mx*.5;b.top+=my*.5;}
else,08-map-parent-settings.js,1637,else{b.left+=mx;b.top+=my;}
for,08-map-parent-settings.js,1641,for(let pass=0;pass<72;pass++){
for,08-map-parent-settings.js,1643,"for(let i=0;i<points.length;i++)for(let j=i+1;j<points.length;j++)moved=separate(points[i],points[j],gapX,gapY,true)||moved;"
for,08-map-parent-settings.js,1644,for(const point of points){
if,08-map-parent-settings.js,1647,if(pass>38){point.left+=(point.originLeft-point.left)*.006;point.top+=(point.originTop-point.top)*.006;}
if,08-map-parent-settings.js,1650,if(!moved&&pass>10)break;
if,08-map-parent-settings.js,1656,"const marker=$(`[data-map-marker=""${loc.id}""]`,root);if(!marker)return;"
if,08-map-parent-settings.js,1665,for(const loc of locations){if(loc.missionTarget||loc.id===activeId||loc.id===selectedId||loc.id==='home'||loc.coopTarget)priority.push(loc);else regular.push(loc);}
else,08-map-parent-settings.js,1665,for(const loc of locations){if(loc.missionTarget||loc.id===activeId||loc.id===selectedId||loc.id==='home'||loc.coopTarget)priority.push(loc);else regular.push(loc);}
for,08-map-parent-settings.js,1665,for(const loc of locations){if(loc.missionTarget||loc.id===activeId||loc.id===selectedId||loc.id==='home'||loc.coopTarget)priority.push(loc);else regular.push(loc);}
if,08-map-parent-settings.js,1667,"for(const loc of regular){const pos=worldToMap(loc.navX??loc.x,loc.navZ??loc.z),key=`${Math.round(pos.left/cellSize)}:${Math.round(pos.top/cellSize)}`;if(!cells.has(key))cells.set(key,[]);cells.get(key).push(loc);}"
for,08-map-parent-settings.js,1667,"for(const loc of regular){const pos=worldToMap(loc.navX??loc.x,loc.navZ??loc.z),key=`${Math.round(pos.left/cellSize)}:${Math.round(pos.top/cellSize)}`;if(!cells.has(key))cells.set(key,[]);cells.get(key).push(loc);}"
for,08-map-parent-settings.js,1669,for(const group of cells.values()){
if,08-map-parent-settings.js,1670,if(group.length===1){nodes.push(group[0]);continue;}
if,08-map-parent-settings.js,1677,"const cluster=mapClusterLookup[id];if(cluster)return mapClusterSelectionMarkup(cluster);const loc=currentMapLocations().find(x=>x.id===id);if(!loc)return'<div class=""map-selection empty""><b>Toque em um ícone</b><span>O nome aparecerá aqui antes de iniciar a rota.</span></div>';"
if,08-map-parent-settings.js,1681,const point=currentMapLocations().find(p=>p.id===id);if(!point)return;
if,08-map-parent-settings.js,1688,const mapLocations=currentMapLocations();if(!mapSelectedId||(!mapLocations.some(x=>x.id===mapSelectedId)&&!mapClusterLookup[mapSelectedId]))mapSelectedId=activeId||'home';
if,08-map-parent-settings.js,1692,"const grouped=groups.map(group=>{const list=mapLocations.filter(x=>x.group===group);if(!list.length)return'';const items=list.sort((a,b)=>mapDistance(a)-mapDistance(b)).map(loc=>`<button class=""map-destination ${loc.id===activeId?'active':''}"" data-map-list=""${loc.id}""><b>${loc.icon}<em>${loc.name}</em></b><span>${mapDistance(loc)} m</span></button>`).join('');return `<section class=""map-destination-group""><h4>${group}</h4><div>${items}</div></section>`;}).join('');"
if,08-map-parent-settings.js,1696,"const fitMapToViewport=()=>{if(!map||!main)return;const portrait=matchMedia?.('(orientation: portrait)')?.matches??innerHeight>=innerWidth,body=$('.modal-body',els.modal),availableWidth=Math.max(220,main.clientWidth),availableHeight=portrait?Math.min(innerHeight*.55,availableWidth):Math.max(220,Math.min(main.clientHeight,body?.clientHeight||innerHeight*.75)),size=Math.floor(Math.min(availableWidth,availableHeight));map.style.setProperty('--map-size',`${size}px`);map.style.setProperty('width',`${"
if,08-map-parent-settings.js,1698,"const selectMapLocation=id=>{mapSelectedId=id;$$('[data-map-marker]',root).forEach(x=>x.classList.toggle('selected',x.dataset.mapMarker===id));$$('[data-map-list]',root).forEach(x=>x.classList.toggle('selected',x.dataset.mapList===id));selection.innerHTML=mapSelectionMarkup(id);bindRoute();if(matchMedia?.('(orientation: portrait)')?.matches)selection.scrollIntoView?.({behavior:'smooth',block:'nearest'});};"
if,08-map-parent-settings.js,1703,"function refreshOpenMapAfterResize(){if(els.modal.hidden||!els.modal.classList.contains('map-modal'))return;clearTimeout(mapResizeTimer);mapResizeTimer=setTimeout(()=>{if(!els.modal.hidden&&els.modal.classList.contains('map-modal'))openMap();},180);}"
if,08-map-parent-settings.js,1711,"const input=$('[data-reset-word]',root),confirm=async()=>{if(String(input.value||'').trim().toUpperCase()!=='APAGAR'){$('[data-reset-error]',root).hidden=false;input.select();return;}if(!(await confirmModal('Última confirmação','Tem certeza de que deseja reiniciar os dados locais deste aparelho?','Sim, recomeçar','Cancelar')))return;await performLocalReset();state=defaultState();await commitState();location.reload();};"
if,08-map-parent-settings.js,1712,"$('[data-reset-confirm]',root).onclick=confirm;$('[data-reset-cancel]',root).onclick=()=>openParentTools(inGame);input.onkeydown=e=>{if(e.key==='Enter'){e.preventDefault();confirm();}};setTimeout(()=>input.focus(),80);"
if,08-map-parent-settings.js,1718,if(accountLinked()){
if,08-map-parent-settings.js,1719,"try{const remote=await window.OTTHOS_RTDB?.getGuardianSettings?.();if(remote&&typeof remote==='object')guardian={...guardian,...(remote.settings||remote)};}catch{}"
catch,08-map-parent-settings.js,1719,"try{const remote=await window.OTTHOS_RTDB?.getGuardianSettings?.();if(remote&&typeof remote==='object')guardian={...guardian,...(remote.settings||remote)};}catch{}"
catch,08-map-parent-settings.js,1720,try{blocked=await window.OTTHOS_RTDB?.getBlockedPlayers?.()||{};}catch{}
catch,08-map-parent-settings.js,1721,try{const audit=await window.OTTHOS_RTDB?.getActivityAudit?.(120);activityAudit=Array.isArray(audit?.items)?audit.items:[];}catch{}
if,08-map-parent-settings.js,1734,"const limit=$('[data-session-limit]',root);if(limit)limit.value=String(Math.max(0,Number(guardian.sessionLimitMinutes||0)));"
if,08-map-parent-settings.js,1735,"$('[data-save-guardian]',root)?.addEventListener('click',async e=>{const btn=e.currentTarget;draft.sessionLimitMinutes=Math.max(0,Number(limit?.value||0));draft.multiplayerEnabled=true;draft.communicationEnabled=true;draft.chatEnabled=true;btn.disabled=true;btn.textContent='Salvando...';const saveGuardian=window.OTTHOS_RTDB?.saveGuardianSettings;const result=saveGuardian?await saveGuardian(draft):{ok:false,error:'Firebase ainda não está pronto.'};if(result?.ok===false||result===false){btn.disabl"
if,08-map-parent-settings.js,1736,"$$('[data-unblock-player]',root).forEach(btn=>btn.onclick=async()=>{const result=await window.OTTHOS_RTDB?.unblockPlayer?.(btn.dataset.unblockPlayer);if(result?.ok===false||result===false){toast(result?.error||'Não foi possível desbloquear.','warn');return;}toast('Jogador desbloqueado.','good');openParentTools(inGame);});"
if,08-map-parent-settings.js,1740,"fileInput.onchange=async()=>{const file=fileInput.files?.[0];if(!file)return;try{const imported=normalizeState(await window.OTTHOS_DB.importFile(file));if(!(await confirmModal('Importar backup','O progresso atual deste aparelho será substituído pelo arquivo escolhido. Continuar?','Importar','Cancelar')))return;state=imported;await window.OTTHOS_DB.save(state);safeLocalSet(STORAGE_KEY,JSON.stringify(state));location.reload();}catch(error){toast(error.message||'Backup inválido.','bad');}};"
catch,08-map-parent-settings.js,1740,"fileInput.onchange=async()=>{const file=fileInput.files?.[0];if(!file)return;try{const imported=normalizeState(await window.OTTHOS_DB.importFile(file));if(!(await confirmModal('Importar backup','O progresso atual deste aparelho será substituído pelo arquivo escolhido. Continuar?','Importar','Cancelar')))return;state=imported;await window.OTTHOS_DB.save(state);safeLocalSet(STORAGE_KEY,JSON.stringify(state));location.reload();}catch(error){toast(error.message||'Backup inválido.','bad');}};"
if,08-map-parent-settings.js,1745,if(accountLinked()){
if,08-map-parent-settings.js,1747,"const input=$('[data-parent-password]',root),error=$('[data-parent-gate-error]',root),unlock=async()=>{const btn=$('[data-parent-unlock]',root);btn.disabled=true;btn.textContent='Confirmando...';const result=await window.OTTHOS_RTDB?.reauthenticateAccount?.(input.value);if(!result?.ok){error.textContent=result?.error||'Senha incorreta.';error.hidden=false;btn.disabled=false;btn.textContent='Continuar';input.select();return;}openParentTools(inGame);};"
if,08-map-parent-settings.js,1748,"$('[data-parent-unlock]',root).onclick=unlock;$('[data-parent-cancel]',root).onclick=()=>openSettings(inGame);input.onkeydown=e=>{if(e.key==='Enter'){e.preventDefault();unlock();}};setTimeout(()=>input.focus(),80);"
if,08-map-parent-settings.js,1752,"openModal('Acesso de responsável',`<div class=""parent-gate""><span>🛡️</span><h3>Peça ajuda a um adulto</h3><p>Sem uma conta vinculada, esta verificação libera apenas progresso e backup local. Para controles online protegidos por senha, vincule a conta. Responda:</p><label class=""field""><span>Quanto é ${a} × ${b}?</span><input data-parent-answer inputmode=""numeric"" pattern=""[0-9]*"" maxlength=""3"" autocomplete=""off""></label><p data-parent-gate-error class=""account-error"" hidden>Resposta incorreta.</"
if,08-map-parent-settings.js,1777,if (key === 'quality') state.settings.quality = requestedQuality() === 'auto' ? 'high' : requestedQuality() === 'high' ? 'low' : 'auto';
else,08-map-parent-settings.js,1778,else state.settings[key] = !state.settings[key];
if,08-map-parent-settings.js,1781,"$('[data-save-now]',root).onclick=async()=>{ if(running) savePlayerPosition(true); else await commitState(); toast('Progresso salvo no celular.','good'); closeModal(); };"
else,08-map-parent-settings.js,1781,"$('[data-save-now]',root).onclick=async()=>{ if(running) savePlayerPosition(true); else await commitState(); toast('Progresso salvo no celular.','good'); closeModal(); };"
if,08-map-parent-settings.js,1782,"const install=$('[data-install]',root);if(install)install.onclick=installApp;"
if,08-map-parent-settings.js,1783,"const home = $('[data-home]', root); if (home) home.onclick = () => { closeModal(); returnHome(); };"
if,08-map-parent-settings.js,1784,"const exit = $('[data-exit]', root); if (exit) exit.onclick = () => { closeModal(); stopGame(); };"
if,08-map-parent-settings.js,1791,els.challengePromptAccept.onclick=()=>{if(promptSocialRequestId)acceptIncomingSocialRequest(promptSocialRequestId);else if(promptChallengeId)acceptIncomingChallenge(promptChallengeId);else if(promptSessionId){const s=gameSessions.get(promptSessionId);if(s)launchSessionWithCountdown(s);}};
else,08-map-parent-settings.js,1791,els.challengePromptAccept.onclick=()=>{if(promptSocialRequestId)acceptIncomingSocialRequest(promptSocialRequestId);else if(promptChallengeId)acceptIncomingChallenge(promptChallengeId);else if(promptSessionId){const s=gameSessions.get(promptSessionId);if(s)launchSessionWithCountdown(s);}};
if,08-map-parent-settings.js,1792,els.challengePromptDecline.onclick=()=>{if(promptSocialRequestId)declineIncomingSocialRequest(promptSocialRequestId);else if(promptChallengeId)declineIncomingChallenge(promptChallengeId);else closeChallengePrompt();};
else,08-map-parent-settings.js,1792,els.challengePromptDecline.onclick=()=>{if(promptSocialRequestId)declineIncomingSocialRequest(promptSocialRequestId);else if(promptChallengeId)declineIncomingChallenge(promptChallengeId);else closeChallengePrompt();};
if,09-responsive-ar-quality-diagnostics.js,1810,if(compact&&state.ui.quickOpen&&state.ui.skillsOpen)state.ui.skillsOpen=false;
if,09-responsive-ar-quality-diagnostics.js,1811,if(document.body.classList.contains('mode-fishing')){state.ui.quickOpen=false;state.ui.skillsOpen=false;state.ui.needsOpen=false;state.ui.missionOpen=false;els.game?.classList.remove('needs-expanded');els.missionCard?.classList.remove('expanded');}
if,09-responsive-ar-quality-diagnostics.js,1813,"els.skillsToggleBtn?.classList.toggle('active',!!state.ui.skillsOpen);els.quickToggleBtn?.classList.toggle('active',!!state.ui.quickOpen);if(els.quickBar)els.quickBar.hidden=!state.ui.quickOpen;"
if,09-responsive-ar-quality-diagnostics.js,1815,els.quickToggleBtn.onclick = () => { state.ui.quickOpen = !state.ui.quickOpen;if(state.ui.quickOpen)state.ui.skillsOpen=false;syncMobilePanels();saveState(); };
if,09-responsive-ar-quality-diagnostics.js,1816,els.skillsToggleBtn.onclick=()=>{state.ui.skillsOpen=!state.ui.skillsOpen;if(state.ui.skillsOpen)state.ui.quickOpen=false;syncMobilePanels();saveState();};
if,09-responsive-ar-quality-diagnostics.js,1820,els.missionCard.onkeydown = e => { if (e.key === 'Enter' || e.key === ' ') { e.preventDefault(); toggleMission(); } };
if,09-responsive-ar-quality-diagnostics.js,1823,if (!els.nativeViewer || !window.loadModelViewerLib) throw new Error('Visualizador indisponível');
if,09-responsive-ar-quality-diagnostics.js,1824,if (els.viewerStatus) els.viewerStatus.textContent = 'Carregando visualizador 3D…';
if,09-responsive-ar-quality-diagnostics.js,1825,if (els.viewerLoadBtn) els.viewerLoadBtn.disabled = true;
if,09-responsive-ar-quality-diagnostics.js,1833,if (!els.nativeViewer.loaded) {
if,09-responsive-ar-quality-diagnostics.js,1845,if (els.viewerPlaceholder) els.viewerPlaceholder.hidden = true;
if,09-responsive-ar-quality-diagnostics.js,1846,if (els.viewerShell) els.viewerShell.classList.add('viewer-ready');
if,09-responsive-ar-quality-diagnostics.js,1847,if (activateAR) await els.nativeViewer.activateAR();
catch,09-responsive-ar-quality-diagnostics.js,1849,} catch (error) {
if,09-responsive-ar-quality-diagnostics.js,1850,if (els.viewerPlaceholder) els.viewerPlaceholder.hidden = false;
if,09-responsive-ar-quality-diagnostics.js,1851,if (els.viewerStatus) els.viewerStatus.textContent = 'Não foi possível carregar. Toque para tentar novamente.';
if,09-responsive-ar-quality-diagnostics.js,1854,if (els.viewerLoadBtn) els.viewerLoadBtn.disabled = false;
if,09-responsive-ar-quality-diagnostics.js,1876,if (!isAndroidDevice()) return false;
if,09-responsive-ar-quality-diagnostics.js,1881,"if (els.viewerLoadBtn) els.viewerLoadBtn.onclick = () => ensureModelViewerReady().catch(() => toast('Visualizador 3D indisponível agora.','warn',2400));"
catch,09-responsive-ar-quality-diagnostics.js,1881,"if (els.viewerLoadBtn) els.viewerLoadBtn.onclick = () => ensureModelViewerReady().catch(() => toast('Visualizador 3D indisponível agora.','warn',2400));"
if,09-responsive-ar-quality-diagnostics.js,1882,"if (els.insideArBtn) els.insideArBtn.addEventListener('click', event => {"
if,09-responsive-ar-quality-diagnostics.js,1883,if (!isAndroidDevice()) return;
if,09-responsive-ar-quality-diagnostics.js,1889,if (openAndroidSceneViewer()) return;
catch,09-responsive-ar-quality-diagnostics.js,1891,"catch { openModal('Realidade aumentada', '<p>Não foi possível iniciar o AR agora. Verifique a internet e o suporte do aparelho e tente novamente.</p>'); }"
if,09-responsive-ar-quality-diagnostics.js,1919,if(memory<=4||cores<=4)return 'low';
if,09-responsive-ar-quality-diagnostics.js,1920,if(!mobile&&memory>=8&&cores>=8)return 'high';
if,09-responsive-ar-quality-diagnostics.js,1939,if(kind==='motorcycle')return player.car.passengerOf?PLAYER_MODES.MOTORCYCLE_PASSENGER:PLAYER_MODES.MOTORCYCLE_DRIVER;
if,09-responsive-ar-quality-diagnostics.js,1940,if(kind==='bicycle')return PLAYER_MODES.BICYCLE;
if,09-responsive-ar-quality-diagnostics.js,1941,if(kind==='skate')return PLAYER_MODES.SKATE;
if,09-responsive-ar-quality-diagnostics.js,1945,if(player.transit.mode==='metro')return PLAYER_MODES.METRO_PASSENGER;
if,09-responsive-ar-quality-diagnostics.js,1946,if(player.transit.mode==='bus')return PLAYER_MODES.BUS_PASSENGER;
if,09-responsive-ar-quality-diagnostics.js,1947,if(player.boating)return player.boat.passengerOf?PLAYER_MODES.BOAT_PASSENGER:PLAYER_MODES.BOAT_DRIVER;
if,09-responsive-ar-quality-diagnostics.js,1948,if(player.vehicle)return vehiclePlayerMode();
if,09-responsive-ar-quality-diagnostics.js,1949,if(currentHouse)return PLAYER_MODES.INTERIOR;
if,09-responsive-ar-quality-diagnostics.js,1950,if(buildMode)return PLAYER_MODES.BUILDING;
if,09-responsive-ar-quality-diagnostics.js,1951,if(fishingSession||fishingVisual?.active)return PLAYER_MODES.FISHING;
if,09-responsive-ar-quality-diagnostics.js,1952,if(performance.now()<Number(player.emoteUntil||0))return PLAYER_MODES.SOCIAL_ACTION;
if,09-responsive-ar-quality-diagnostics.js,1957,if(player.vehicle)exclusive.push('vehicle');
if,09-responsive-ar-quality-diagnostics.js,1958,if(player.boating)exclusive.push('boat');
if,09-responsive-ar-quality-diagnostics.js,1959,if(player.transit.mode)exclusive.push(`transit:${player.transit.mode}`);
if,09-responsive-ar-quality-diagnostics.js,1960,if(currentHouse)exclusive.push('interior');
if,09-responsive-ar-quality-diagnostics.js,1961,if(buildMode)exclusive.push('building');
if,09-responsive-ar-quality-diagnostics.js,1962,if(fishingSession||fishingVisual?.active)exclusive.push('fishing');
if,09-responsive-ar-quality-diagnostics.js,1965,if(next!==playerModeMachine.state){
if,09-responsive-ar-quality-diagnostics.js,1974,"if(!audit.valid){console.warn('[OTTHOS] Estado de mobilidade conflitante bloqueado',audit);return false;}"
if,09-responsive-ar-quality-diagnostics.js,1985,"if(disabled)return{x:0,z:0,moveX:0,moveZ:0,steer:0,throttle:0,disabled:true,mode};"
if,09-responsive-ar-quality-diagnostics.js,1986,"if([PLAYER_MODES.CAR_DRIVER,PLAYER_MODES.MOTORCYCLE_DRIVER,PLAYER_MODES.BICYCLE,PLAYER_MODES.SKATE,PLAYER_MODES.BOAT_DRIVER].includes(mode))return{x,z,moveX:0,moveZ:0,steer:x,throttle:z,disabled:false,mode};"
if,09-responsive-ar-quality-diagnostics.js,1995,if(tier==='high') return mobile?1.0:1.35;
if,09-responsive-ar-quality-diagnostics.js,1996,if(tier==='low') return mobile?.68:.95;
if,09-responsive-ar-quality-diagnostics.js,2000,if(!renderer)return;
if,09-responsive-ar-quality-diagnostics.js,2002,if(force||!running||Math.abs(perf.appliedDpr-dpr)>.08){renderer.setPixelRatio(dpr);perf.appliedDpr=dpr;}
if,09-responsive-ar-quality-diagnostics.js,2005,"if(sunLight){if(!perf.appliedTier){const size=tier==='high'?(perf.mobile?1024:1536):tier==='balanced'?768:512;sunLight.shadow.mapSize.set(size,size);}sunLight.castShadow=tier==='high'&&!perf.mobile;}"
if,09-responsive-ar-quality-diagnostics.js,2011,if(perf.sampleMs<3)return;
if,09-responsive-ar-quality-diagnostics.js,2013,if(requestedQuality()!=='auto')return;
if,09-responsive-ar-quality-diagnostics.js,2015,if(recommendation===perf.recommendation)perf.recommendationSamples++;else{perf.recommendation=recommendation;perf.recommendationSamples=1;}
else,09-responsive-ar-quality-diagnostics.js,2015,if(recommendation===perf.recommendation)perf.recommendationSamples++;else{perf.recommendation=recommendation;perf.recommendationSamples=1;}
if,09-responsive-ar-quality-diagnostics.js,2019,if(perf.lowSamples>=2&&perf.sessionTier!=='low'){
if,09-responsive-ar-quality-diagnostics.js,2022,}else if(!perf.mobile&&perf.highSamples>=7&&perf.sessionTier!=='high'){
